Benchmark                                             Mode  Cnt     Score     Error   Units
ArrayConcatenationBenchmark.concatWithJoin           thrpt    6     0.014 ±   0.003  ops/us
ArrayConcatenationBenchmark.concatWithJoinStream     thrpt    6     0.012 ±   0.004  ops/us
ArrayFrequencyBenchmark.countByRegex2                thrpt   10    35.364 ±   3.986  ops/ms
ArrayFrequencyBenchmark.countBySequential            thrpt   10    11.965 ±   1.151  ops/ms
ArrayFrequencyBenchmark.countByStream                thrpt   10    10.489 ±   0.583  ops/ms
ArraySearchBenchmark.searchWithRegex                 thrpt    4    56.567 ±   1.346  ops/ms
ArraySearchBenchmark.searchWithStream                thrpt    4    10.821 ±   0.646  ops/ms
ArraySortingBenchmark.sortArrayInts                  thrpt    4    10.883 ±   1.341  ops/us
ArraySortingBenchmark.sortArrayIntsLess              thrpt    4     0.022 ±   0.005  ops/us
ArraySortingBenchmark.sortStreamInts                 thrpt    4     0.021 ±   0.002  ops/us
ArraySortingBenchmark.sortStreamIntsLess             thrpt    4     6.306 ±   0.773  ops/us
StringConcatenationBenchmark.concatWithBuffer        thrpt    4  1845.083 ±  64.967  ops/us
StringConcatenationBenchmark.concatWithBuilder       thrpt    4  1740.719 ± 633.800  ops/us
StringConcatenationBenchmark.concatWithConcat        thrpt    4    26.251 ±   9.282  ops/us
StringConcatenationBenchmark.concatWithJoin          thrpt    4     8.970 ±   1.085  ops/us
StringConcatenationBenchmark.concatWithJoinStream    thrpt    4     8.160 ±   3.287  ops/us
StringConcatenationBenchmark.concatWithPlusOperator  thrpt    4   529.500 ± 163.509  ops/us
ArrayConcatenationBenchmark.concatWithJoin            avgt    6    69.206 ±   2.418   us/op
ArrayConcatenationBenchmark.concatWithJoinStream      avgt    6    73.949 ±   6.432   us/op
ArrayFrequencyBenchmark.countByRegex2                 avgt   10     0.027 ±   0.001   ms/op
ArrayFrequencyBenchmark.countBySequential             avgt   10     0.060 ±   0.002   ms/op
ArrayFrequencyBenchmark.countByStream                 avgt   10     0.096 ±   0.003   ms/op
ArraySearchBenchmark.searchWithRegex                  avgt    4     0.017 ±   0.001   ms/op
ArraySearchBenchmark.searchWithStream                 avgt    4     0.090 ±   0.020   ms/op
ArraySortingBenchmark.sortArrayInts                   avgt    4     0.090 ±   0.001   us/op
ArraySortingBenchmark.sortArrayIntsLess               avgt    4    43.816 ±   2.479   us/op
ArraySortingBenchmark.sortStreamInts                  avgt    4    45.521 ±   3.202   us/op
ArraySortingBenchmark.sortStreamIntsLess              avgt    4     0.152 ±   0.014   us/op
StringConcatenationBenchmark.concatWithBuffer         avgt    4     0.001 ±   0.001   us/op
StringConcatenationBenchmark.concatWithBuilder        avgt    4     0.001 ±   0.001   us/op
StringConcatenationBenchmark.concatWithConcat         avgt    4     0.035 ±   0.010   us/op
StringConcatenationBenchmark.concatWithJoin           avgt    4     0.103 ±   0.017   us/op
StringConcatenationBenchmark.concatWithJoinStream     avgt    4     0.116 ±   0.027   us/op
StringConcatenationBenchmark.concatWithPlusOperator   avgt    4     0.002 ±   0.001   us/op
